customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-vhveg,female,False,True,False,1,False,False,dsl,False,True,False,False,False,False,month-to-month,True,electronic check,29.85,29.85,False
5575-gnvde,male,False,False,False,34,True,False,dsl,True,False,True,False,False,False,one year,False,mailed check,56.95,1889.5,False
3668-qpybk,male,False,False,False,2,True,False,dsl,True,True,False,False,False,False,month-to-month,True,mailed check,53.85,108.15,True
7795-cfocw,male,False,False,False,45,False,False,dsl,True,False,True,True,False,False,one year,False,bank transfer (automatic),42.3,1840.75,False
9237-hqitu,female,False,False,False,2,True,False,fiber optic,False,False,False,False,False,False,month-to-month,True,electronic check,70.7,151.65,True
9305-cdskc,female,False,False,False,8,True,True,fiber optic,False,False,True,False,True,True,month-to-month,True,electronic check,99.65,820.5,True
1452-kiovk,male,False,False,True,22,True,True,fiber optic,False,True,False,False,True,False,month-to-month,True,credit card (automatic),89.1,1949.4,False
6713-okomc,female,False,False,False,10,False,False,dsl,True,False,False,False,False,False,month-to-month,False,mailed check,29.75,301.9,False
7892-pookp,female,False,True,False,28,True,True,fiber optic,False,False,True,True,True,True,month-to-month,True,electronic check,104.8,3046.05,True
6388-tabgu,male,False,False,True,62,True,False,dsl,True,True,False,False,False,False,one year,False,bank transfer (automatic),56.15,3487.95,False
9763-grskd,male,False,True,True,13,True,False,dsl,True,False,False,False,False,False,month-to-month,True,mailed check,49.95,587.45,False
7469-lkbci,male,False,False,False,16,True,False,no,False,False,False,False,False,False,two year,False,credit card (automatic),18.95,326.8,False
8091-ttvax,male,False,True,False,58,True,True,fiber optic,False,False,True,False,True,True,one year,False,credit card (automatic),100.35,5681.1,False
0280-xjgex,male,False,False,False,49,True,True,fiber optic,False,True,True,False,True,True,month-to-month,True,bank transfer (automatic),103.7,5036.3,True
5129-jlpis,male,False,False,False,25,True,False,fiber optic,True,False,True,True,True,True,month-to-month,True,electronic check,105.5,2686.05,False
3655-snqyz,female,False,True,True,69,True,True,fiber optic,True,True,True,True,True,True,two year,False,credit card (automatic),113.25,7895.15,False
8191-xwszg,female,False,False,False,52,True,False,no,False,False,False,False,False,False,one year,False,mailed check,20.65,1022.95,False
9959-wofkt,male,False,False,True,71,True,True,fiber optic,True,False,True,False,True,True,two year,False,bank transfer (automatic),106.7,7382.25,False
4190-mfluw,female,False,True,True,10,True,False,dsl,False,False,True,True,False,False,month-to-month,False,credit card (automatic),55.2,528.35,True
4183-myfrb,female,False,False,False,21,True,False,fiber optic,False,True,True,False,False,True,month-to-month,True,electronic check,90.05,1862.9,False
8779-qrdmv,male,True,False,False,1,False,False,dsl,False,False,True,False,False,True,month-to-month,True,electronic check,39.65,39.65,True
1680-vdcww,male,False,True,False,12,True,False,no,False,False,False,False,False,False,one year,False,bank transfer (automatic),19.8,202.25,False
1066-jksgk,male,False,False,False,1,True,False,no,False,False,False,False,False,False,month-to-month,False,mailed check,20.15,20.15,True
3638-weabw,female,False,True,False,58,True,True,dsl,False,True,False,True,False,False,two year,True,credit card (automatic),59.9,3505.1,False
6322-hrpfa,male,False,True,True,49,True,False,dsl,True,True,False,True,False,False,month-to-month,False,credit card (automatic),59.6,2970.3,False
6865-jznko,female,False,False,False,30,True,False,dsl,True,True,False,False,False,False,month-to-month,True,bank transfer (automatic),55.3,1530.6,False
6467-chfzw,male,False,True,True,47,True,True,fiber optic,False,True,False,False,True,True,month-to-month,True,electronic check,99.35,4749.15,True
8665-utdhz,male,False,True,True,1,False,False,dsl,False,True,False,False,False,False,month-to-month,False,electronic check,30.2,30.2,True
5248-ygijn,male,False,True,False,72,True,True,dsl,True,True,True,True,True,True,two year,True,credit card (automatic),90.25,6369.45,False
8773-hhuoz,female,False,False,True,17,True,False,dsl,False,False,False,False,True,True,month-to-month,True,mailed check,64.7,1093.1,True
3841-nfecx,female,True,True,False,71,True,True,fiber optic,True,True,True,True,False,False,two year,True,credit card (automatic),96.35,6766.95,False
4929-xihvw,male,True,True,False,2,True,False,fiber optic,False,False,True,False,True,True,month-to-month,True,credit card (automatic),95.5,181.65,False
6827-ieauq,female,False,True,True,27,True,False,dsl,True,True,True,True,False,False,one year,False,mailed check,66.15,1874.45,False
7310-egvhz,male,False,False,False,1,True,False,no,False,False,False,False,False,False,month-to-month,False,bank transfer (automatic),20.2,20.2,False
3413-bmnze,male,True,False,False,1,True,False,dsl,False,False,False,False,False,False,month-to-month,False,bank transfer (automatic),45.25,45.25,False
6234-raapl,female,False,True,True,72,True,True,fiber optic,True,True,False,True,True,False,two year,False,bank transfer (automatic),99.9,7251.7,False
6047-yhpvi,male,False,False,False,5,True,False,fiber optic,False,False,False,False,False,False,month-to-month,True,electronic check,69.7,316.9,True
6572-adkrs,female,False,False,False,46,True,False,fiber optic,False,False,True,False,False,False,month-to-month,True,credit card (automatic),74.8,3548.3,False
5380-wjkov,male,False,False,False,34,True,True,fiber optic,False,True,True,False,True,True,month-to-month,True,electronic check,106.35,3549.25,True
8168-uqwwf,female,False,False,False,11,True,True,fiber optic,False,False,True,False,True,True,month-to-month,True,bank transfer (automatic),97.85,1105.4,True
8865-tnmnx,male,False,True,True,10,True,False,dsl,False,True,False,False,False,False,one year,False,mailed check,49.55,475.7,False
9489-dedvp,female,False,True,True,70,True,True,dsl,True,True,False,False,True,False,two year,True,credit card (automatic),69.2,4872.35,False
9867-jczsp,female,False,True,True,17,True,False,no,False,False,False,False,False,False,one year,False,mailed check,20.75,418.25,False
4671-vjlcl,female,False,False,False,63,True,True,dsl,True,True,True,True,True,False,two year,True,credit card (automatic),79.85,4861.45,False
4080-iiard,female,False,True,False,13,True,True,dsl,True,True,False,True,True,False,month-to-month,True,electronic check,76.2,981.45,False
3714-ntnfo,female,False,False,False,49,True,True,fiber optic,False,False,False,False,False,True,month-to-month,True,electronic check,84.5,3906.7,False
5948-ujzlf,male,False,False,False,2,True,False,dsl,False,True,False,False,False,False,month-to-month,False,mailed check,49.25,97.0,False
